Taxon,taxon,binomial,genus,species,subspecies,taxon,Status,Accepted name,Authority,Collection source,ETS accession,ITS accession,matK accession,psbA accession
Corymbia candida subsp. dispodes,corymbia candida subsp. dispodes,corymbia candida,corymbia,candida,dispodes,corymbia candida subsp. dispodes,Accepted,,K.D.Hill & L.A.S.Johnson,Currency Creek 2752,KT631435,KT630909,KT632640,
Corymbia catenaria,corymbia catenaria,corymbia catenaria,corymbia,catenaria,NA,corymbia catenaria,Synonym,Corymbia watsoniana,(Brooker & A.R.Bean),Currency Creek 700,KT631436,KT630910,KT632641,
Corymbia chippendalei,corymbia chippendalei,corymbia chippendalei,corymbia,chippendalei,NA,corymbia chippendalei,Accepted,,(D.J.Carr & S.G.M.Carr),CANB 513580**,KT631437,KT630911,,KT632081
Corymbia citriodora,corymbia citriodora,corymbia citriodora,corymbia,citriodora,NA,corymbia citriodora,Accepted,,(Hook.) K.D.Hill &,Currency Creek 698,KT631438,AF390461,KT632642,KT632082
Corymbia clarksoniana,corymbia clarksoniana,corymbia clarksoniana,corymbia,clarksoniana,NA,corymbia clarksoniana,Accepted,,(D.J.Carr & S.G.M.Carr),ANBG 643951,KT631439,KT630912,KT632643,KT632083
Corymbia collina,corymbia collina,corymbia collina,corymbia,collina,NA,corymbia collina,Accepted,,(W.Fitzg.) K.D.Hill &,CANB 785553**,KT631440,KT630913,KT632644,KT632084
Corymbia confertiflora,corymbia confertiflora,corymbia confertiflora,corymbia,confertiflora,NA,corymbia confertiflora,Accepted,,(Kippist ex F.Muell.) K.D.Hill,CANB 785485**,KT631441,KT630914,KT632645,KT632085
Corymbia dallachiana,corymbia dallachiana,corymbia dallachiana,corymbia,dallachiana,NA,corymbia dallachiana,Accepted,,(Benth.) K.D.Hill &,CANB 697829**,KT631442,KT630915,KT632646,KT632086
Corymbia dampieri,corymbia dampieri,corymbia dampieri,corymbia,dampieri,NA,corymbia dampieri,Synonym,Corymbia greeniana,(D.J.Carr & S.G.M.Carr),GenBank,DQ352493,GQ366359,,
Corymbia dendromerinx,corymbia dendromerinx,corymbia dendromerinx,corymbia,dendromerinx,NA,corymbia dendromerinx,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 644448**,KT631443,GQ366360,KT632647,
Corymbia deserticola subsp. deserticola,corymbia deserticola subsp. deserticola,corymbia deserticola,corymbia,deserticola,deserticola,corymbia deserticola subsp. deserticola,Accepted,,(S.G.M.Carr) K.D.Hill &,CANB 804353**,KT631444,DQ993135,KT632648,
Corymbia dichromophloia,corymbia dichromophloia,corymbia dichromophloia,corymbia,dichromophloia,NA,corymbia dichromophloia,Accepted,,(F.Muell.) K.D.Hill &,CANB 785493**,KT631445,KT630916,KT632649,KT632087
Corymbia dimorpha,corymbia dimorpha,corymbia dimorpha,corymbia,dimorpha,NA,corymbia dimorpha,Synonym,Corymbia peltata,(Benth.) K.D.Hill &,GenBank,DQ352496,GQ366362,,
Corymbia dolichocarpa,corymbia dolichocarpa,corymbia dolichocarpa,corymbia,dolichocarpa,NA,corymbia dolichocarpa,Synonym,Corymbia clarksoniana,(D.J.Carr & S.G.M.Carr),GenBank,DQ352497,GQ366363,,
Corymbia dunlopiana,corymbia dunlopiana,corymbia dunlopiana,corymbia,dunlopiana,NA,corymbia dunlopiana,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 640209**,KT631446,KT630917,KT632650,KT632088
Corymbia ellipsoidea,corymbia ellipsoidea,corymbia ellipsoidea,corymbia,ellipsoidea,NA,corymbia ellipsoidea,Accepted,,(D.J.Carr & S.G.M.Carr),Mt Annan 904974,KT631447,,KT632651,KT632089
Corymbia eremaea subsp. eremaea,corymbia eremaea subsp. eremaea,corymbia eremaea,corymbia,eremaea,eremaea,corymbia eremaea subsp. eremaea,Accepted,,(D.J.Carr & S.G.M.Carr),Currency Creek 1708,KT631448,KT630918,KT632652,KT632090
Corymbia erythrophloia,corymbia erythrophloia,corymbia erythrophloia,corymbia,erythrophloia,NA,corymbia erythrophloia,Accepted,,(Blakely) K.D.Hill &,Mt Annan 891984,KT631449,KT630919,KT632653,KT632091
Corymbia eximia,corymbia eximia,corymbia eximia,corymbia,eximia,NA,corymbia eximia,Accepted,,(Schauer) K.D.Hill &,ANBG 62889,KT631450,AF190360,KT632654,KT632092
Corymbia ferriticola,corymbia ferriticola,corymbia ferriticola,corymbia,ferriticola,NA,corymbia ferriticola,Accepted,,(Brooker & Edgecombe) K.D.Hill,CANB 804359**,KT631451,KT630920,KT632655,KT632093
Corymbia ferruginea subsp. ferruginea,corymbia ferruginea subsp. ferruginea,corymbia ferruginea,corymbia,ferruginea,ferruginea,corymbia ferruginea subsp. ferruginea,Accepted,,(Schauer) K.D.Hill &,CANB 785503**,,KT630921,KT632656,KT632094
Corymbia ficifolia,corymbia ficifolia,corymbia ficifolia,corymbia,ficifolia,NA,corymbia ficifolia,Accepted,,(F.Muell.) K.D.Hill &,ANBG c208,DQ352499,AF390451,KT632657,
Corymbia flavescens,corymbia flavescens,corymbia flavescens,corymbia,flavescens,NA,corymbia flavescens,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 785561**,DQ352500,KT630922,KT632658,
Corymbia foelscheana,corymbia foelscheana,corymbia foelscheana,corymbia,foelscheana,NA,corymbia foelscheana,Accepted,,(F.Muell.) K.D.Hill &,CANB 785474**,KT631452,KT630923,KT632659,KT632095
Corymbia gilbertensis,corymbia gilbertensis,corymbia gilbertensis,corymbia,gilbertensis,NA,corymbia gilbertensis,Accepted,,(Maiden & Blakely) K.D.Hill,CANB 739029**,KT631453,,,
Corymbia grandifolia,corymbia grandifolia,corymbia grandifolia,corymbia,grandifolia,NA,corymbia grandifolia,Accepted,,(R.Br. ex Benth.) K.D.Hill,CANB 739034**,KT631454,KT630924,KT632660,KT632096
Corymbia greeniana,corymbia greeniana,corymbia greeniana,corymbia,greeniana,NA,corymbia greeniana,Accepted,,(D.J.Carr & S.G.M.Carr),CANB 785522**,KT631455,KT630925,KT632661,KT632097
Corymbia gummifera,corymbia gummifera,corymbia gummifera,corymbia,gummifera,NA,corymbia gummifera,Accepted,,(Gaertn.) K.D.Hill &,Currency Creek 1228,KT631456,AF390463,KT632662,KT632098
Corymbia haematoxylon,corymbia haematoxylon,corymbia haematoxylon,corymbia,haematoxylon,NA,corymbia haematoxylon,Accepted,,(Maiden) K.D.Hill &,Currency Creek 1147,KT631457,KT630926,,
Corymbia hamersleyana,corymbia hamersleyana,corymbia hamersleyana,corymbia,hamersleyana,NA,corymbia hamersleyana,Accepted,,(D.J.Carr & S.G.M.Carr),CANB 804358**,DQ352503,KT630927,KT632663,KT632100
Corymbia hendersonii,corymbia hendersonii,corymbia hendersonii,corymbia,hendersonii,NA,corymbia hendersonii,Accepted,,K.D.Hill & L.A.S.Johnson,Currency Creek 701,KT631458,GQ366365,,KT632101
Corymbia henryi,corymbia henryi,corymbia henryi,corymbia,henryi,NA,corymbia henryi,Accepted,,(S.T.Blake) K.D.Hill &,ANBG 8910948,KT631459,AF390457,KT632664,KT632102
Corymbia hylandii,corymbia hylandii,corymbia hylandii,corymbia,hylandii,NA,corymbia hylandii,Accepted,,(D.J.Carr & S.G.M.Carr),CANB 738922**,,,,KT632103
Corymbia intermedia,corymbia intermedia,corymbia intermedia,corymbia,intermedia,NA,corymbia intermedia,Accepted,,(F.Muell. ex R.T.Baker),Currency Creek 708,KT631460,KT630928,HQ287616,KT632104
Corymbia jacobsiana,corymbia jacobsiana,corymbia jacobsiana,corymbia,jacobsiana,NA,corymbia jacobsiana,Accepted,,(Blakely) K.D.Hill &,CANB 558528**,KT631461,DQ993127,,KT632105
Corymbia lamprophylla,corymbia lamprophylla,corymbia lamprophylla,corymbia,lamprophylla,NA,corymbia lamprophylla,Accepted,,(Brooker & A.R.Bean) K.D.Hill &,Mt Annan 842093,KT631462,,KT632665,KT632106
Corymbia latifolia,corymbia latifolia,corymbia latifolia,corymbia,latifolia,NA,corymbia latifolia,Accepted,,(F.Muell.) K.D.Hill &,CANB 785515**,KT631463,,,
Corymbia leichhardtii,corymbia leichhardtii,corymbia leichhardtii,corymbia,leichhardtii,NA,corymbia leichhardtii,Accepted,,(F.M.Bailey) K.D.Hill &,Mt Annan 891967,KT631464,DQ993122,KT632666,KT632107
Corymbia lenziana,corymbia lenziana,corymbia lenziana,corymbia,lenziana,NA,corymbia lenziana,Accepted,,(D.J.Carr & S.G.M.Carr) K.D.Hill,CANB 794064**,KT631465,,KT632667,KT632108
Corymbia leptoloma,corymbia leptoloma,corymbia leptoloma,corymbia,leptoloma,NA,corymbia leptoloma,Accepted,,(Brooker & A.R.Bean) K.D.Hill &,Currency Creek 1302,DQ352508,GQ366367,KT632668,KT632109
Corymbia ligans subsp. ligans,corymbia ligans subsp. ligans,corymbia ligans,corymbia,ligans,ligans,corymbia ligans subsp. ligans,Accepted,,K.D.Hill & L.A.S.Johnson,Mt Annan 892078,DQ352509,GQ366368,,
Corymbia maculata,corymbia maculata,corymbia maculata,corymbia,maculata,NA,corymbia maculata,Accepted,,(Hook.) K.D.Hill &,ANBG 7800470,KT631466,AF058461,KT632669,KT632110
Corymbia nesophila,corymbia nesophila,corymbia nesophila,corymbia,nesophila,NA,corymbia nesophila,Accepted,,(Blakely) K.D.Hill &,CANB 785518**,KT631467,,KT632670,
Corymbia novoguinensis,corymbia novoguinensis,corymbia novoguinensis,corymbia,novoguinensis,NA,corymbia novoguinensis,Accepted,,(D.J.Carr & S.G.M.Carr) K.D.Hill,CANB 738912**,KT631468,,,KT632111
Corymbia opaca,corymbia opaca,corymbia opaca,corymbia,opaca,NA,corymbia opaca,Synonym,Corymbia terminalis,(F.Muell.) K.D.Hill &,GenBank,DQ352511,DQ993124,,
Corymbia opacula,corymbia opacula,corymbia opacula,corymbia,opacula,NA,corymbia opacula,Accepted,,L.A.S.Johnson,GenBank,,DQ993125,,
Corymbia pachycarpa,corymbia pachycarpa,corymbia pachycarpa,corymbia,pachycarpa,NA,corymbia pachycarpa,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 785564**,KT631469,,,
Corymbia papillosa,corymbia papillosa,corymbia papillosa,corymbia,papillosa,NA,corymbia papillosa,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 564789**,KT631470,,,
Corymbia papuana,corymbia papuana,corymbia papuana,corymbia,papuana,NA,corymbia papuana,Accepted,,(F.Muell.) K.D.Hill &,CANB 583122**,KT631471,AF190359,KT632671,KT632112
Corymbia pauciseta,corymbia pauciseta,corymbia pauciseta,corymbia,pauciseta,NA,corymbia pauciseta,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 448845**,KT631472,KT630929,KT632672,KT632113
Corymbia peltata,corymbia peltata,corymbia peltata,corymbia,peltata,NA,corymbia peltata,Accepted,,(Benth.) K.D.Hill &,Currency Creek 2505,KT631473,KT630930,KT632673,KT632114
Corymbia petalophylla,corymbia petalophylla,corymbia petalophylla,corymbia,petalophylla,NA,corymbia petalophylla,Accepted,,(Brooker & A.R.Bean) K.D.Hill &,Mt Annan 892019,KT631474,GQ366370,KT632674,KT632115
Corymbia plena,corymbia plena,corymbia plena,corymbia,plena,NA,corymbia plena,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 660150**,KT631475,KT630931,,KT632116
Corymbia polycarpa,corymbia polycarpa,corymbia polycarpa,corymbia,polycarpa,NA,corymbia polycarpa,Accepted,,(F.Muell.) K.D.Hill &,CANB 785478**,KT631476,AF390452,,KT632117
Corymbia polysciada,corymbia polysciada,corymbia polysciada,corymbia,polysciada,NA,corymbia polysciada,Accepted,,(F.Muell.) K.D.Hill &,CANB 785475**,KT631477,KT630932,KT632675,KT632118
Corymbia porphyritica,corymbia porphyritica,corymbia porphyritica,corymbia,porphyritica,NA,corymbia porphyritica,Synonym,Corymbia ellipsoidea,(D.J.Carr & S.G.M.Carr) K.D.Hill,GenBank,DQ352516,,,
Corymbia porrecta,corymbia porrecta,corymbia porrecta,corymbia,porrecta,NA,corymbia porrecta,Accepted,,(S.T.Blake) K.D.Hill &,CANB 628340**,KT631478,DQ993134,KT632676,KT632119
Corymbia ptychocarpa subsp. ptychocarpa,corymbia ptychocarpa subsp. ptychocarpa,corymbia ptychocarpa,corymbia,ptychocarpa,ptychocarpa,corymbia ptychocarpa subsp. ptychocarpa,Accepted,,(F.Muell.) K.D.Hill &,CANB 785501**,KT631479,KT630933,KT632677,KT632120
Corymbia rhodops,corymbia rhodops,corymbia rhodops,corymbia,rhodops,NA,corymbia rhodops,Accepted,,(D.J.Carr & S.G.M.Carr) K.D.Hill,GenBank,DQ352518,,,
Corymbia scabrida,corymbia scabrida,corymbia scabrida,corymbia,scabrida,NA,corymbia scabrida,Accepted,,(Brooker & A.R.Bean) K.D.Hill &,Mt Annan 891868,KT631480,GQ366371,KT632678,KT632121
Corymbia stockeri subsp. stockeri,corymbia stockeri subsp. stockeri,corymbia stockeri,corymbia,stockeri,stockeri,corymbia stockeri subsp. stockeri,Accepted,,(D.J.Carr & S.G.M.Carr) K.D.Hill,GenBank,DQ352520,,,
Corymbia terminalis,corymbia terminalis,corymbia terminalis,corymbia,terminalis,NA,corymbia terminalis,Accepted,,(F.Muell.) K.D.Hill &,CANB 785544**,DQ352521,GQ366372,KT632679,
Corymbia tessellaris,corymbia tessellaris,corymbia tessellaris,corymbia,tessellaris,NA,corymbia tessellaris,Accepted,,(F.Muell.) K.D.Hill &,Currency Creek s.n.,KT631481,AF058457,KT632680,KT632122
Corymbia torelliana,corymbia torelliana,corymbia torelliana,corymbia,torelliana,NA,corymbia torelliana,Accepted,,(F.Muell.) K.D.Hill &,Mt Annan 981102,KT631482,GQ366373,KT632681,KT632123
Corymbia torta,corymbia torta,corymbia torta,corymbia,torta,NA,corymbia torta,Accepted,,K.D.Hill & L.A.S.Johnson,CANB 644409**,KT631483,,,
Corymbia trachyphloia,corymbia trachyphloia,corymbia trachyphloia,corymbia,trachyphloia,NA,corymbia trachyphloia,Accepted,,(F.Muell.) K.D.Hill &,ANBG 60750,DQ352523,AF390455,KT632682,
Corymbia variegata,corymbia variegata,corymbia variegata,corymbia,variegata,NA,corymbia variegata,Synonym,Corymbia citriodora,(Hook.) K.D.Hill &,GenBank,DQ352524,AF390462,AF368203,
Corymbia watsoniana subsp. watsoniana,corymbia watsoniana subsp. watsoniana,corymbia watsoniana,corymbia,watsoniana,watsoniana,corymbia watsoniana subsp. watsoniana,Accepted,,(F.Muell.) K.D.Hill &,ANBG 68771,KT631484,GQ366374,KT632683,
Corymbia xanthope,corymbia xanthope,corymbia xanthope,corymbia,xanthope,NA,corymbia xanthope,Accepted,,(A.R.Bean & Brooker) K.D.Hill &,GenBank,DQ352526,GQ366375,,
Corymbia zygophylla,corymbia zygophylla,corymbia zygophylla,corymbia,zygophylla,NA,corymbia zygophylla,Accepted,,(Blakely) K.D.Hill &,CANB 785546**,KT631485,GQ366376,KT632684,KT632125
Decaspermum humile,decaspermum humile,decaspermum humile,decaspermum,humile,NA,decaspermum humile,Accepted,,(Sweet ex G.Don) A.J.Scott,GenBank,AM489905,AM234128,,AM489824
Eucalyptopsis alauda,eucalyptopsis alauda,eucalyptopsis alauda,eucalyptopsis,alauda,NA,eucalyptopsis alauda,Accepted,,Craven,CANB 704249**,KT631486,,,KT632126
Eucalyptopsis papuana,eucalyptopsis papuana,eucalyptopsis papuana,eucalyptopsis,papuana,NA,eucalyptopsis papuana,Accepted,,C.T.White,GenBank,DQ352538,AF190354,AF368205,AF190388
Eucalyptus abdita,eucalyptus abdita,eucalyptus abdita,eucalyptus,abdita,NA,eucalyptus abdita,Accepted,,Brooker & Hopper,CANB 687864**,KT631487,KT630934,KT632685,KT632127
Eucalyptus absita,eucalyptus absita,eucalyptus absita,eucalyptus,absita,NA,eucalyptus absita,Accepted,,Grayling & Brooker,Currency Creek 1154,KT631488,KT630935,KT632686,KT632128
Eucalyptus acaciiformis,eucalyptus acaciiformis,eucalyptus acaciiformis,eucalyptus,acaciiformis,NA,eucalyptus acaciiformis,Accepted,,H.Deane & Maiden,Currency Creek 657,KT631489,KT630936,KT632687,
Eucalyptus accedens,eucalyptus accedens,eucalyptus accedens,eucalyptus,accedens,NA,eucalyptus accedens,Accepted,,W.Fitzg.,Currency Creek 1164,KT631490,KT630937,KT632688,KT632129
Eucalyptus acies,eucalyptus acies,eucalyptus acies,eucalyptus,acies,NA,eucalyptus acies,Accepted,,Brooker,CANB 610687**,KT631491,EF051489,KT632689,KT632130
Eucalyptus acmenoides,eucalyptus acmenoides,eucalyptus acmenoides,eucalyptus,acmenoides,NA,eucalyptus acmenoides,Accepted,,Schauer,Currency Creek 2087,KT631492,KT630938,KT632690,KT632131
Eucalyptus acroleuca,eucalyptus acroleuca,eucalyptus acroleuca,eucalyptus,acroleuca,NA,eucalyptus acroleuca,Accepted,,L.A.S.Johnson & K.D.Hill,CANB 593424**,KT631493,,,
Eucalyptus aequioperta,eucalyptus aequioperta,eucalyptus aequioperta,eucalyptus,aequioperta,NA,eucalyptus aequioperta,Accepted,,Brooker & Hopper,Currency Creek 3448,KT631494,KT630939,KT632691,KT632132
Eucalyptus agglomerata,eucalyptus agglomerata,eucalyptus agglomerata,eucalyptus,agglomerata,NA,eucalyptus agglomerata,Accepted,,Maiden,Currency Creek 2928,KT631495,KT630940,KT632692,KT632133
Eucalyptus aggregata,eucalyptus aggregata,eucalyptus aggregata,eucalyptus,aggregata,NA,eucalyptus aggregata,Accepted,,H.Deane & Maiden,Currency Creek 1224,KT631496,KT630941,KT632693,KT632134
Eucalyptus alaticaulis,eucalyptus alaticaulis,eucalyptus alaticaulis,eucalyptus,alaticaulis,NA,eucalyptus alaticaulis,Accepted,,R.J.Watson & Ladiges,Currency Creek 356,KT631497,KT630942,KT632694,KT632135
Eucalyptus alba,eucalyptus alba,eucalyptus alba,eucalyptus,alba,NA,eucalyptus alba,Accepted,,Reinw. ex Blume,GenBank,,AF390485,,
Eucalyptus albens,eucalyptus albens,eucalyptus albens,eucalyptus,albens,NA,eucalyptus albens,Accepted,,Benth.,Currency Creek 2898,KT631498,AF390502,KT632695,KT632136
Eucalyptus albida,eucalyptus albida,eucalyptus albida,eucalyptus,albida,NA,eucalyptus albida,Accepted,,Maiden & Blakely,Currency Creek 3437,KT631499,KT630943,KT632696,KT632137
Eucalyptus albopurpurea,eucalyptus albopurpurea,eucalyptus albopurpurea,eucalyptus,albopurpurea,NA,eucalyptus albopurpurea,Accepted,,(Boomsma) D.Nicolle,Currency Creek 3180,KT631500,KT630944,KT632697,KT632138
Eucalyptus alipes,eucalyptus alipes,eucalyptus alipes,eucalyptus,alipes,NA,eucalyptus alipes,Accepted,,(L.A.S.Johnson & K.D.Hill),Currency Creek 3678,KT631501,KT630945,KT632698,
Eucalyptus alligatrix subsp. alligatrix,eucalyptus alligatrix subsp. alligatrix,eucalyptus alligatrix,eucalyptus,alligatrix,alligatrix,eucalyptus alligatrix subsp. alligatrix,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 1773,KT631502,KT630946,KT632699,
Eucalyptus amplifolia subsp. amplifolia,eucalyptus amplifolia subsp. amplifolia,eucalyptus amplifolia,eucalyptus,amplifolia,amplifolia,eucalyptus amplifolia subsp. amplifolia,Accepted,,Naudin,Currency Creek 604,KT631503,KT630947,KT632700,
Eucalyptus amygdalina,eucalyptus amygdalina,eucalyptus amygdalina,eucalyptus,amygdalina,NA,eucalyptus amygdalina,Accepted,,Labill.,CANB 481986**,KT631504,HM596032,,KT632139
Eucalyptus ancophila,eucalyptus ancophila,eucalyptus ancophila,eucalyptus,ancophila,NA,eucalyptus ancophila,Accepted,,L.A.S.Johnson & K.D.Hill,Mt Annan 841467,KT631505,KT630948,KT632701,
Eucalyptus andrewsii subsp. andrewsii,eucalyptus andrewsii subsp. andrewsii,eucalyptus andrewsii,eucalyptus,andrewsii,andrewsii,eucalyptus andrewsii subsp. andrewsii,Accepted,,Maiden,ANBG 8410679,KT631506,,KT632702,KT632140
Eucalyptus angophoroides,eucalyptus angophoroides,eucalyptus angophoroides,eucalyptus,angophoroides,NA,eucalyptus angophoroides,Accepted,,R.T.Baker,Currency Creek 1745,KT631507,KT630949,KT632703,
Eucalyptus angulosa,eucalyptus angulosa,eucalyptus angulosa,eucalyptus,angulosa,NA,eucalyptus angulosa,Accepted,,Schauer,Currency Creek 939,KT631508,KT630950,,KT632141
Eucalyptus angustissima,eucalyptus angustissima,eucalyptus angustissima,eucalyptus,angustissima,NA,eucalyptus angustissima,Accepted,,F.Muell.,CANB 794337**,KT631509,KT630951,KT632704,KT632142
Eucalyptus annulata,eucalyptus annulata,eucalyptus annulata,eucalyptus,annulata,NA,eucalyptus annulata,Accepted,,Benth.,CANB 794263**,,,KT632705,KT632143
Eucalyptus apiculata,eucalyptus apiculata,eucalyptus apiculata,eucalyptus,apiculata,NA,eucalyptus apiculata,Accepted,,R.T.Baker & H.G.Sm.,Currency Creek 772,KT631510,KT630952,KT632706,KT632144
Eucalyptus apodophylla subsp. provecta,eucalyptus apodophylla subsp. provecta,eucalyptus apodophylla,eucalyptus,apodophylla,provecta,eucalyptus apodophylla subsp. provecta,Accepted,,Blakely & Jacobs,CANB 7855329**,KT631511,KT630953,KT632707,KT632145
Eucalyptus apothalassica,eucalyptus apothalassica,eucalyptus apothalassica,eucalyptus,apothalassica,NA,eucalyptus apothalassica,Accepted,,L.A.S.Johnson & K.D.Hill,Mt Annan 842080,KT631512,KT630954,KT632708,KT632146
